date,Customer_id,Spend
3/8/2014 0:00,0,150
5/21/2014 0:00,1,262
3/14/2014 0:00,2,241
4/9/2014 0:00,2,115
5/21/2014 0:00,2,33
6/8/2014 0:00,2,223
6/30/2014 0:00,2,188
7/31/2014 0:00,2,32
8/3/2014 0:00,2,132
8/6/2014 0:00,3,155
7/1/2014 0:00,4,201
7/4/2014 0:00,4,95
7/10/2014 0:00,4,249
4/24/2014 0:00,5,213
7/10/2014 0:00,5,20
8/3/2014 0:00,6,124
2/18/2014 0:00,7,240
2/18/2014 0:00,7,185
2/19/2014 0:00,7,223
5/31/2014 0:00,8,88
8/19/2014 0:00,8,137
2/25/2014 0:00,9,221
2/26/2014 0:00,9,34
5/3/2014 0:00,10,135
3/18/2014 0:00,11,145
3/23/2014 0:00,11,42
3/25/2014 0:00,11,256
3/29/2014 0:00,11,20
3/29/2014 0:00,11,276
3/30/2014 0:00,11,235
3/11/2014 0:00,12,208
2/22/2014 0:00,13,151
2/22/2014 0:00,13,103
5/12/2014 0:00,14,237
5/14/2014 0:00,14,80
5/31/2014 0:00,14,113
7/11/2014 0:00,15,107
3/19/2014 0:00,16,262
4/24/2014 0:00,17,193
4/28/2014 0:00,17,221
5/13/2014 0:00,17,154
5/17/2014 0:00,17,188
4/27/2014 0:00,18,45
5/6/2014 0:00,18,146
6/22/2014 0:00,19,59
7/10/2014 0:00,19,240
7/25/2014 0:00,20,104
9/24/2014 0:00,20,20
10/29/2014 0:00,20,193
3/1/2014 0:00,21,213
3/8/2014 0:00,21,191
3/8/2014 0:00,21,155
5/17/2014 0:00,22,268
7/24/2014 0:00,22,247
9/2/2014 0:00,22,229
9/16/2014 0:00,22,168
9/19/2014 0:00,22,134
6/14/2014 0:00,23,67
3/2/2014 0:00,24,231
2/5/2014 0:00,25,107
4/1/2014 0:00,26,257
5/17/2014 0:00,27,285
2/26/2014 0:00,28,55
7/30/2014 0:00,29,284
7/31/2014 0:00,29,299
8/4/2014 0:00,29,145
8/6/2014 0:00,29,139
8/14/2014 0:00,29,138
5/16/2014 0:00,30,266
6/1/2014 0:00,30,112
6/12/2014 0:00,30,249
2/17/2014 0:00,31,122
2/21/2014 0:00,31,92
3/24/2014 0:00,32,81
3/24/2014 0:00,32,57
6/13/2014 0:00,33,273
7/7/2014 0:00,33,266
7/17/2014 0:00,33,206
8/4/2014 0:00,33,166
8/21/2014 0:00,33,41
1/23/2014 0:00,34,258
6/30/2014 0:00,35,205
7/3/2014 0:00,35,224
7/3/2014 0:00,35,127
7/12/2014 0:00,35,117
7/16/2014 0:00,35,47
7/17/2014 0:00,35,237
7/21/2014 0:00,35,61
8/1/2014 0:00,35,104
8/7/2014 0:00,35,118
9/7/2014 0:00,35,300
9/8/2014 0:00,35,127
9/24/2014 0:00,35,254
10/9/2014 0:00,35,75
10/16/2014 0:00,35,266
10/26/2014 0:00,35,291
10/29/2014 0:00,35,51
11/2/2014 0:00,35,20
11/14/2014 0:00,35,209
2/18/2014 0:00,36,126
2/27/2014 0:00,36,298
2/28/2014 0:00,36,35
3/6/2014 0:00,36,74
3/13/2014 0:00,36,93
1/24/2014 0:00,37,27
3/4/2014 0:00,38,293
6/8/2014 0:00,39,297
3/19/2014 0:00,40,185
8/16/2014 0:00,41,115
